Time Stamp,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15_1,F15_2,F15_3,F15_4,F15_5,F15_6,F15_7,F16_a,F16_b,F17_1,F17_2,F17_3,F17_4,F17_5,F17_6,F17_7,F18,F19,F20_a,F20_b,F20_c,F20_d,F21,F22,a6,b6,c6,d6,e6,F23,F24,F25,F26,F27,F28,F29,F30,F31,Geschlecht,Abschluss_62826,Fachsemester
08.01.14 15:45:09,2,2,1,2,2,1,2,1,1,1,3,3,3,1,0,0,0,0,0,0,0,5,5,0,0,0,1,1,0,0,6,1,1,1,1,1,3,2,0,0,0,1,1,2,3,2,2,1,3,3,2,3,2,7,1
08.01.14 15:45:09,2,2,2,2,3,1,2,2,1,1,2,2,3,1,0,0,0,0,0,0,0,2,4,1,1,1,1,1,0,0,6,2,2,3,1,1,3,6,0,0,0,1,0,3,3,3,2,1,2,2,2,3,2,5,1
08.01.14 15:45:09,3,2,1,1,2,1,2,3,1,1,2,3,3,1,0,0,0,0,0,0,0,3,5,1,1,1,1,1,0,0,5,1,3,2,3,2,3,6,0,0,0,1,0,4,2,1,2,3,4,5,5,5,1,7,1
08.01.14 15:45:09,2,2,1,4,4,1,3,3,1,1,3,1,3,1,0,0,0,0,0,0,0,1,2,0,0,1,1,1,0,0,6,3,3,2,3,1,3,2,0,0,0,1,1,3,3,3,2,1,1,1,2,1,2,5,1
08.01.14 15:45:09,3,2,1,2,4,2,4,2,1,1,3,2,3,1,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,1,2,2,2,1,1,3,6,0,0,1,0,1,3,3,3,1,2,2,2,4,4,2,6,1
08.01.14 15:45:09,2,2,1,2,2,1,2,2,2,1,2,2,3,1,0,0,0,0,0,0,0,3,4,0,0,0,1,1,0,0,6,2,1,2,2,2,3,2,0,0,1,1,1,2,2,3,2,2,2,2,2,2,2,6,1
08.01.14 15:45:09,2,2,1,2,3,1,1,2,1,1,3,3,3,1,0,0,0,0,0,0,0,3,3,1,0,0,1,0,0,0,6,2,2,1,2,1,3,6,0,1,1,1,1,3,3,2,2,3,3,3,3,1,2,7,1
08.01.14 15:45:09,2,1,1,2,2,1,1,1,1,1,3,3,3,1,0,0,0,0,0,0,0,5,5,0,0,0,1,1,0,0,6,1,2,1,1,1,3,6,0,0,0,0,1,3,3,3,2,1,1,1,1,2,2,6,1
08.01.14 15:45:09,2,1,1,1,2,1,1,3,1,1,3,3,3,1,0,0,0,0,0,0,0,5,5,1,0,1,0,0,0,0,6,2,1,1,2,1,3,6,0,0,1,0,1,2,2,2,1,1,1,1,3,3,2,6,1
08.01.14 15:45:09,3,3,2,2,2,1,3,1,2,2,3,2,3,1,0,0,0,0,0,0,0,4,5,1,0,1,1,0,0,0,6,2,3,4,2,2,3,6,0,0,1,1,0,3,4,3,3,3,2,4,4,3,2,7,1
08.01.14 15:45:09,2,1,1,1,1,1,1,1,1,1,3,3,3,1,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,6,1,2,1,1,1,3,1,0,0,1,0,0,2,3,3,2,1,1,1,2,1,1,5,1
08.01.14 15:45:09,2,2,2,3,2,1,1,2,2,2,,3,3,1,0,0,0,0,0,0,0,3,,0,1,1,1,0,0,0,,2,2,2,2,2,3,1,0,0,0,0,1,3,3,3,2,2,3,2,2,1,,,1
08.01.14 15:45:09,2,2,2,2,2,1,1,2,1,1,,3,3,1,0,0,0,0,0,0,0,2,4,1,1,1,1,0,0,0,,2,2,2,2,2,3,1,0,0,0,1,1,3,2,3,1,1,2,2,2,3,1,6,1
08.01.14 15:45:09,2,3,1,1,2,1,2,1,1,1,3,3,3,1,0,0,0,0,0,0,0,4,3,1,0,0,1,0,0,0,6,2,2,3,2,1,3,2,0,0,1,1,1,3,3,2,2,1,2,2,2,2,1,7,1
08.01.14 15:45:09,2,1,2,3,3,1,2,3,2,2,2,3,3,2,0,1,0,0,0,0,0,5,5,0,1,1,1,0,0,0,6,2,4,2,3,2,3,6,0,0,0,1,1,2,2,1,2,3,4,4,4,3,2,7,1
08.01.14 15:45:09,2,1,1,2,4,1,1,2,2,2,3,4,3,1,0,0,0,0,0,0,0,3,3,1,0,1,1,0,0,0,6,1,1,1,2,2,3,6,0,0,0,0,1,4,3,3,2,2,2,2,3,3,2,6,1
08.01.14 15:45:09,2,1,1,2,1,1,2,2,2,1,3,3,3,1,0,0,0,0,0,0,0,4,5,0,0,1,0,0,0,0,1,1,1,1,2,1,3,2,0,0,1,0,0,2,2,2,2,2,3,3,2,2,2,5,1
08.01.14 15:45:09,3,2,2,5,4,1,3,3,1,1,2,2,3,1,0,0,0,0,0,0,0,3,5,1,0,0,1,0,0,0,6,2,3,2,2,1,3,6,0,0,0,1,0,1,3,1,1,2,4,3,4,2,2,5,1
08.01.14 15:45:09,1,1,1,1,1,1,1,3,1,1,1,3,3,1,0,0,0,0,0,0,0,5,5,1,0,1,0,0,0,0,6,3,1,2,1,3,3,1,0,0,0,0,1,1,1,3,1,1,1,3,1,1,2,7,
08.01.14 15:45:09,3,2,3,3,3,1,2,2,2,2,3,4,3,1,0,0,0,0,0,0,0,4,4,1,0,1,0,0,0,0,6,2,2,2,2,2,3,6,0,0,0,1,0,3,3,3,2,2,2,2,3,3,2,5,1
08.01.14 15:45:09,4,2,2,5,3,1,2,3,1,,2,2,3,1,0,0,0,0,0,0,0,5,5,0,0,0,1,0,0,0,3,3,4,1,2,2,3,4,0,0,0,1,0,3,3,2,2,2,2,3,4,2,2,7,1
08.01.14 15:45:09,1,1,1,1,1,1,1,1,1,1,2,3,3,1,0,0,0,0,0,0,1,4,4,0,1,1,0,0,0,0,1,3,1,1,1,1,1,1,0,0,1,0,1,3,3,3,1,1,2,1,1,2,2,6,1
08.01.14 15:45:09,4,2,1,3,2,1,1,2,1,1,2,2,3,4,0,0,0,0,0,0,1,3,5,0,0,0,1,0,0,0,6,1,1,1,1,1,3,2,0,0,1,1,0,2,2,2,2,1,3,2,2,1,2,7,1
08.01.14 15:45:09,2,1,1,3,2,1,2,2,2,1,2,3,3,1,0,0,0,0,0,0,0,5,5,0,0,0,1,0,0,0,6,1,1,1,1,1,3,6,0,0,1,1,1,3,2,3,1,1,1,2,1,1,2,7,1
08.01.14 15:45:09,2,2,3,2,3,1,2,2,2,2,3,3,3,1,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0,6,1,1,2,2,1,3,6,0,0,1,1,1,2,2,3,2,3,2,3,2,2,1,7,1
08.01.14 15:45:09,4,3,4,3,5,2,5,4,3,2,3,2,5,1,0,0,0,0,0,0,0,3,5,1,0,1,1,0,0,0,6,2,3,2,4,2,3,3,0,0,1,0,1,3,3,3,3,1,1,1,1,2,2,7,1
08.01.14 15:45:09,2,2,2,4,3,1,1,2,1,2,3,3,3,1,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,6,2,2,2,2,2,3,1,0,0,1,1,1,2,2,4,4,2,2,2,2,2,2,6,1
08.01.14 15:45:09,2,2,3,3,4,1,2,4,2,1,2,3,3,2,0,0,0,1,0,0,0,3,5,0,0,1,1,0,0,0,6,2,1,1,2,1,3,2,0,0,1,0,1,2,3,3,1,1,1,1,2,2,2,7,1
08.01.14 15:45:09,2,2,2,4,3,1,2,1,2,1,3,3,3,1,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0,6,2,2,2,2,1,3,2,0,0,1,1,1,3,3,3,3,4,2,3,3,1,1,7,1
08.01.14 15:45:09,2,2,2,3,3,2,2,2,2,1,3,3,3,4,0,0,0,0,1,0,0,3,5,0,0,0,1,1,0,0,6,3,2,3,3,2,3,6,0,0,0,1,0,3,5,2,3,2,2,2,2,4,2,7,1
08.01.14 15:45:09,3,3,2,3,3,2,2,2,1,1,2,3,3,4,0,0,0,1,0,0,1,2,5,1,0,1,0,0,0,0,2,2,2,2,2,2,3,6,0,0,1,0,1,3,2,3,3,2,3,2,2,2,2,7,1
08.01.14 15:45:09,2,2,1,2,3,1,2,3,1,1,3,2,3,1,0,0,0,0,0,0,0,2,3,0,0,1,1,0,0,0,6,2,3,1,3,2,3,2,0,0,1,1,0,3,3,3,2,2,2,3,2,2,2,7,1
08.01.14 15:45:09,1,1,1,1,2,1,1,1,2,2,3,3,3,1,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,6,1,2,1,2,2,3,1,0,0,0,0,1,3,2,3,2,2,2,2,2,1,2,6,1
08.01.14 15:45:09,1,1,1,2,3,1,1,1,1,1,3,3,3,2,0,0,0,0,0,0,1,4,4,1,0,0,0,0,1,0,6,2,1,2,2,2,3,1,0,0,0,0,1,2,3,3,2,2,2,1,3,3,2,6,1
08.01.14 15:45:09,2,2,1,2,1,1,1,2,1,1,2,3,3,1,0,0,0,0,0,0,0,3,5,0,1,1,1,0,0,0,6,2,3,3,2,2,1,1,0,0,0,1,1,2,2,3,4,1,4,2,3,1,2,6,1
08.01.14 15:45:09,2,2,2,3,3,1,1,2,1,2,3,3,3,1,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,6,2,2,2,1,2,1,2,0,0,0,1,1,3,3,2,3,2,3,3,3,2,2,6,1
08.01.14 15:45:09,2,3,3,4,2,1,3,3,2,2,2,2,3,1,0,0,0,0,0,0,0,4,4,0,0,1,1,0,0,0,6,1,2,3,2,2,3,6,0,0,0,0,1,2,3,3,3,2,2,2,2,1,2,6,1
08.01.14 15:45:09,3,2,1,1,4,1,1,2,2,1,3,2,3,1,0,0,0,0,0,0,0,2,4,1,0,0,1,0,0,0,6,2,2,1,1,1,3,6,0,0,0,0,1,3,3,3,2,2,2,2,4,1,2,6,1
08.01.14 15:45:09,2,3,2,3,3,1,3,2,1,1,2,2,3,1,0,0,0,0,0,0,0,3,5,1,0,0,1,0,0,0,6,2,3,2,2,2,3,1,0,0,0,1,0,3,3,3,3,3,3,3,3,2,2,7,1
08.01.14 15:45:09,2,1,1,1,2,1,1,2,1,2,3,3,3,1,0,0,0,0,0,0,0,5,5,1,0,0,1,1,0,0,6,2,2,2,2,2,3,2,0,0,0,0,1,3,3,3,2,2,3,3,3,2,2,6,1
08.01.14 15:45:09,2,2,2,1,3,1,2,2,2,1,3,2,3,2,0,0,0,0,0,0,1,5,5,0,0,0,1,0,0,0,6,1,2,2,1,1,3,2,0,0,0,1,1,2,3,2,3,2,3,3,3,2,2,6,2
08.01.14 15:45:09,2,2,3,2,4,1,2,3,3,2,3,2,4,1,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,6,2,2,4,2,2,3,3,0,0,0,1,0,2,3,3,1,2,3,4,5,1,2,5,1
08.01.14 15:45:09,3,2,3,4,4,2,4,4,2,2,2,4,4,1,0,0,0,0,0,0,0,4,5,0,0,0,1,0,0,0,6,2,2,3,3,3,3,6,0,0,0,1,1,3,3,2,1,1,2,1,2,1,2,5,1
08.01.14 15:45:09,1,2,1,1,2,1,2,2,2,2,3,3,2,1,0,0,0,0,0,0,0,5,5,0,1,1,1,0,0,0,6,1,1,3,1,2,3,6,0,0,0,1,1,2,3,2,2,1,3,1,3,4,1,7,1
08.01.14 15:45:09,2,1,1,2,3,1,1,3,2,1,3,3,3,1,0,0,0,0,0,0,0,2,2,1,1,1,1,0,1,0,6,1,2,1,1,1,3,6,0,0,0,1,0,3,2,1,2,3,4,4,5,2,1,7,1
08.01.14 15:45:09,2,2,3,4,3,1,2,3,2,2,3,2,3,2,0,1,0,0,0,0,0,4,4,0,0,0,1,0,0,0,6,2,2,3,2,1,3,6,0,0,1,0,1,2,2,3,2,1,2,1,2,2,2,6,1
